Date,max_t,min_t,rain
2015-03-02,35.6,16.2,0.0
2015-03-03,31.5,17.9,9.3
2015-03-04,30.2,18.8,0.0
2015-03-05,29.2,22.0,0.0
2015-03-06,29.5,16.5,0.0
2015-03-07,32.9,18.9,0.0
2015-03-08,34.2,20.5,0.0
2015-03-09,31.0,14.7,0.0
2015-03-10,31.2,17.9,0.0
2015-03-11,26.1,19.0,2.1
2015-03-12,29.3,17.7,0.0
2015-03-13,29.5,15.1,0.0
2015-03-14,25.8,15.9,0.0
2015-03-15,30.0,17.4,0.0
2015-03-16,28.8,17.7,0.0
2015-03-17,21.5,16.7,0.0
2015-03-18,26.2,18.2,0.0
2015-03-19,30.9,18.7,0.0
2015-03-20,31.4,16.5,0.0
2015-03-21,26.5,17.3,0.0
2015-03-22,32.4,13.4,0.0
2015-03-23,30.0,17.1,8.6
2015-03-24,27.6,21.4,0.0
2015-03-25,32.3,17.6,0.0
2015-03-26,23.0,14.6,0.0
2015-03-27,25.8,19.4,0.0
2015-03-28,25.5,13.9,0.0
2015-03-29,26.7,15.7,2.5
2015-03-30,22.8,13.3,0.0
2015-03-31,27.4,16.9,3.4
2015-04-01,27.5,18.4,0.0
2015-04-02,27.7,16.3,0.0
2015-04-03,25.7,15.7,0.0
2015-04-04,15.9,12.6,0.0
2015-04-05,23.5,17.5,0.6
2015-04-06,27.3,17.0,0.0
2015-04-07,25.1,15.5,0.0
2015-04-08,26.5,13.6,0.0
2015-04-09,24.4,14.5,0.0
2015-04-10,22.5,12.5,2.9
2015-04-11,31.7,12.5,1.5
2015-04-12,27.4,14.3,0.0
2015-04-13,26.6,11.4,0.0
2015-04-14,23.6,15.1,0.0
2015-04-15,23.8,12.8,0.0
2015-04-16,24.5,14.3,0.0
2015-04-17,20.0,16.0,3.4
2015-04-18,18.6,10.4,2.0
2015-04-19,22.0,14.3,0.3
2015-04-20,22.5,12.8,4.7
2015-04-21,23.6,15.7,0.0
2015-04-22,20.5,9.2,0.0
2015-04-23,17.3,13.7,0.2
2015-04-24,30.3,10.2,0.0
2015-04-25,30.8,12.1,0.0
2015-04-26,27.2,12.7,17.7
2015-04-27,28.9,10.4,0.0
2015-04-28,20.1,15.5,0.0
2015-04-29,24.1,16.5,0.0
2015-04-30,19.7,9.9,0.0
2015-05-01,21.7,12.5,0.0
2015-05-02,21.4,12.3,0.0
2015-05-03,25.3,10.7,0.0
2015-05-04,19.8,10.2,2.7
2015-05-05,31.9,15.6,0.0
2015-05-06,25.4,13.9,0.0
2015-05-07,26.8,15.5,0.0
2015-05-08,27.3,16.9,0.0
2015-05-09,29.7,11.6,0.0
2015-05-10,30.8,18.2,0.0
2015-05-11,18.2,12.0,0.0
2015-05-12,15.4,16.7,0.0
2015-05-13,19.5,8.9,0.0
2015-05-14,22.9,10.6,0.0
2015-05-15,20.8,10.5,0.0
2015-05-16,23.7,9.6,2.3
2015-05-17,14.3,10.0,0.0
2015-05-18,20.4,15.0,0.3
2015-05-19,21.3,8.8,0.0
2015-05-20,21.4,12.8,5.1
2015-05-21,23.6,10.5,0.0
2015-05-22,17.9,12.0,0.0
2015-05-23,21.1,10.2,1.5
2015-05-24,13.3,11.0,0.0
2015-05-25,18.8,11.6,0.0
2015-05-26,14.2,9.5,0.0
2015-05-27,23.0,8.8,0.0
2015-05-28,20.4,7.6,0.0
2015-05-29,19.6,13.3,0.0
2015-05-30,11.6,5.8,0.0
2015-05-31,14.5,8.2,0.0
2015-06-01,24.7,5.4,0.0
2015-06-02,23.4,7.1,0.0
2015-06-03,16.8,8.4,0.0
2015-06-04,18.3,11.2,0.0
2015-06-05,21.2,10.5,0.0
2015-06-06,15.9,7.1,2.4
2015-06-07,15.2,9.7,0.0
2015-06-08,20.3,5.0,0.0
2015-06-09,18.6,9.8,0.0
2015-06-10,16.6,9.2,0.0
2015-06-11,16.1,5.3,0.0
2015-06-12,14.7,7.8,0.2
2015-06-13,17.9,7.8,0.0
2015-06-14,16.6,5.8,0.0
2015-06-15,20.9,6.2,0.0
2015-06-16,17.9,9.7,8.3
2015-06-17,18.7,8.7,0.0
2015-06-18,23.4,9.2,0.3
2015-06-19,16.2,7.0,0.0
2015-06-20,18.5,5.7,0.0
2015-06-21,19.8,10.6,0.0
2015-06-22,12.3,8.6,0.0
2015-06-23,15.2,8.5,0.0
2015-06-24,15.7,5.5,0.0
2015-06-25,19.3,7.2,0.0
2015-06-26,15.4,7.6,0.0
2015-06-27,15.4,7.3,3.3
2015-06-28,16.7,8.5,0.0
2015-06-29,18.7,6.9,0.0
2015-06-30,13.5,7.3,0.0
2015-07-01,12.5,8.4,0.0
2015-07-02,16.7,9.4,0.0
2015-07-03,15.2,7.3,0.0
2015-07-04,16.1,5.6,0.0
2015-07-05,14.3,9.2,0.0
2015-07-06,17.8,7.9,0.0
2015-07-07,9.1,7.9,0.0
2015-07-08,14.2,7.8,0.0
2015-07-09,15.3,6.4,0.0
2015-07-10,20.9,9.1,0.0
2015-07-11,14.3,10.4,0.0
2015-07-12,14.0,11.1,0.0
2015-07-13,16.3,10.3,0.0
2015-07-14,12.0,5.3,0.0
2015-07-15,10.2,6.5,0.0
2015-07-16,13.1,6.1,3.8
2015-07-17,15.2,6.9,0.0
2015-07-18,14.3,10.4,0.0
2015-07-19,15.8,6.8,0.0
2015-07-20,15.9,8.9,0.0
2015-07-21,13.8,5.8,0.3
2015-07-22,14.9,6.7,3.2
2015-07-23,18.6,7.2,11.8
2015-07-24,18.8,9.9,0.0
2015-07-25,13.2,6.8,0.0
2015-07-26,16.4,10.3,1.9
2015-07-27,13.8,6.2,0.0
2015-07-28,19.5,4.4,0.0
2015-07-29,16.5,5.4,0.0
2015-07-30,15.6,8.8,0.0
2015-07-31,12.6,6.4,0.0
2015-08-01,14.3,7.5,0.0
2015-08-02,15.0,5.6,0.1
2015-08-03,21.7,3.9,0.0
2015-08-04,20.5,7.8,0.0
2015-08-05,21.1,8.9,0.0
2015-08-06,16.2,10.7,0.0
2015-08-07,19.9,6.5,0.0
2015-08-08,16.7,7.7,0.0
2015-08-09,16.0,5.8,0.0
2015-08-10,17.3,10.5,9.5
2015-08-11,16.1,10.7,0.0
2015-08-12,20.6,4.9,0.0
2015-08-13,16.3,6.2,0.0
2015-08-14,19.2,14.3,0.0
2015-08-15,18.1,6.8,0.0
2015-08-16,17.5,8.7,0.0
2015-08-17,16.0,10.3,0.0
2015-08-18,19.8,4.4,0.0
2015-08-19,12.0,8.4,0.0
2015-08-20,20.0,13.3,0.0
2015-08-21,20.8,3.4,0.0
2015-08-22,15.8,8.3,0.0
2015-08-23,19.6,8.2,0.0
2015-08-24,16.9,10.1,0.0
2015-08-25,17.5,8.8,0.8
2015-08-26,22.3,8.3,0.0
2015-08-27,19.6,9.9,1.3
2015-08-28,24.2,9.8,0.0
2015-08-29,21.8,5.2,7.5
2015-08-30,20.3,8.1,0.0
2015-08-31,15.7,9.8,0.0
2015-09-01,16.4,11.1,7.6
2015-09-02,13.3,9.3,0.0
2015-09-03,22.6,6.4,0.0
2015-09-04,16.6,10.8,0.0
2015-09-05,18.2,5.1,0.0
2015-09-06,23.8,9.4,0.0
2015-09-07,21.0,10.9,4.3
2015-09-08,14.3,10.5,0.0
2015-09-09,19.9,12.0,0.0
2015-09-10,15.0,8.0,0.0
2015-09-11,13.8,12.5,0.0
2015-09-12,15.4,10.8,0.0
2015-09-13,22.4,8.8,0.0
2015-09-14,18.3,12.7,0.0
2015-09-15,17.4,10.4,0.0
2015-09-16,21.6,10.8,0.3
2015-09-17,20.4,14.3,0.0
2015-09-18,21.9,10.8,0.0
2015-09-19,21.2,11.3,3.5
2015-09-20,19.4,9.0,0.0
2015-09-21,21.7,12.2,0.0
2015-09-22,17.3,13.0,0.0
2015-09-23,21.0,11.5,0.0
2015-09-24,21.2,12.3,0.0
2015-09-25,19.5,11.2,0.0
2015-09-26,15.3,10.6,0.0
2015-09-27,19.0,6.2,0.0
2015-09-28,21.3,12.5,0.0
2015-09-29,24.3,9.5,0.0
2015-09-30,19.0,11.2,0.0
2015-10-01,22.4,12.7,3.5
2015-10-02,20.9,6.6,13.9
2015-10-03,14.7,10.9,0.0
2015-10-04,30.4,11.8,0.0
2015-10-05,19.5,13.1,0.0
2015-10-06,20.8,12.5,1.8
2015-10-07,20.3,13.2,0.0
2015-10-08,21.4,17.2,0.0
2015-10-09,20.6,12.3,0.6
2015-10-10,23.2,12.8,0.0
2015-10-11,21.7,13.6,0.0
2015-10-12,14.6,11.0,0.0
2015-10-13,20.7,15.1,0.0
2015-10-14,29.3,14.5,0.0
2015-10-15,26.5,13.6,0.0
2015-10-16,22.6,13.8,0.0
2015-10-17,24.4,11.4,0.0
2015-10-18,22.7,14.4,2.2
2015-10-19,21.3,13.6,4.4
2015-10-20,22.0,13.5,0.0
2015-10-21,27.5,14.4,0.0
2015-10-22,18.7,14.4,0.0
2015-10-23,25.8,16.7,0.0
2015-10-24,27.7,16.4,0.0
2015-10-25,21.5,16.0,0.0
2015-10-26,25.2,17.3,0.0
2015-10-27,25.9,15.2,0.0
2015-10-28,28.0,17.3,0.0
2015-10-29,27.1,14.4,0.0
2015-10-30,23.4,15.8,0.0
2015-10-31,30.7,17.6,0.0
2015-11-01,25.7,15.3,0.0
2015-11-02,28.1,14.8,0.0
2015-11-03,24.7,15.4,12.0
2015-11-04,20.5,18.4,0.0
2015-11-05,22.4,15.5,0.0
2015-11-06,28.8,13.4,0.0
2015-11-07,25.7,19.7,0.0
2015-11-08,27.5,15.7,0.0
2015-11-09,29.2,16.0,1.8
2015-11-10,22.4,16.5,0.5
2015-11-11,23.4,16.1,11.3
2015-11-12,28.7,13.9,0.0
2015-11-13,31.0,15.3,0.0
2015-11-14,24.1,15.6,0.0
2015-11-15,30.6,14.8,0.0
2015-11-16,29.2,15.9,0.0
2015-11-17,27.8,20.2,0.0
2015-11-18,32.8,15.4,0.0
2015-11-19,30.8,19.8,0.0
2015-11-20,23.2,17.8,6.3
2015-11-21,25.5,21.6,0.0
2015-11-22,27.2,18.6,0.0
2015-11-23,29.2,19.8,0.0
2015-11-24,30.8,15.5,0.0
2015-11-25,29.3,20.2,0.0
2015-11-26,37.5,19.4,0.0
2015-11-27,31.8,22.6,0.0
2015-11-28,34.1,16.9,0.0
2015-11-29,35.6,20.6,0.0
2015-11-30,35.4,18.7,0.0
2015-12-01,34.9,18.2,0.0
2015-12-02,24.8,21.8,0.0
2015-12-03,28.2,18.8,0.0
2015-12-04,30.8,17.3,0.0
2015-12-05,26.7,15.4,1.8
2015-12-06,26.0,21.6,0.0
2015-12-07,31.7,19.2,0.0
2015-12-08,28.4,16.7,0.0
2015-12-09,34.5,20.1,0.0
2015-12-10,36.0,18.2,0.0
2015-12-11,28.7,21.6,0.0
2015-12-12,32.4,19.1,0.0
2015-12-13,33.2,19.5,0.8
2015-12-14,28.1,20.7,0.0
2015-12-15,22.9,20.0,0.0
2015-12-16,37.6,22.3,0.0
2015-12-17,28.1,18.4,0.0
2015-12-18,35.9,21.4,0.0
2015-12-19,29.3,16.2,0.0
2015-12-20,29.5,18.7,4.2
2015-12-21,30.0,22.9,0.0
2015-12-22,32.7,18.8,0.0
2015-12-23,32.0,16.2,0.0
2015-12-24,30.6,20.8,0.0
2015-12-25,31.9,21.1,0.0
2015-12-26,32.3,22.3,0.0
2015-12-27,36.6,20.7,0.0
2015-12-28,32.5,20.7,0.0
2015-12-29,24.6,18.5,0.0
2015-12-30,27.4,18.1,0.0
2015-12-31,27.5,23.5,1.5
2016-01-01,35.4,16.8,0.0
2016-01-02,28.0,21.6,1.0
2016-01-03,26.8,20.2,0.0
2016-01-04,30.8,17.6,0.0
2016-01-05,37.8,20.7,0.0
2016-01-06,34.4,23.4,0.0
2016-01-07,36.9,20.8,0.0
2016-01-08,28.9,21.0,0.0
2016-01-09,28.6,20.9,0.0
2016-01-10,31.0,21.3,0.0
2016-01-11,34.3,18.3,0.2
2016-01-12,34.2,22.3,0.0
2016-01-13,32.2,20.8,0.4
2016-01-14,31.5,21.6,0.0
2016-01-15,30.5,18.5,0.0
2016-01-16,32.8,21.2,0.0
2016-01-17,30.7,17.6,0.0
2016-01-18,36.2,18.6,0.0
2016-01-19,30.1,20.7,0.0
2016-01-20,24.1,18.0,0.0
2016-01-21,29.8,21.3,0.0
2016-01-22,29.7,19.6,0.0
2016-01-23,34.4,19.5,0.0
2016-01-24,30.1,19.8,0.0
2016-01-25,30.5,21.7,0.0
2016-01-26,31.9,23.5,8.3
2016-01-27,31.2,21.1,0.0
2016-01-28,31.7,21.2,0.0
2016-01-29,37.5,23.6,0.2
2016-01-30,28.2,20.1,0.0
2016-01-31,33.2,23.6,0.0
2016-02-01,26.8,20.7,0.0
2016-02-02,33.2,17.7,0.0
2016-02-03,26.8,19.1,0.0
2016-02-04,31.8,21.5,0.0
2016-02-05,31.4,23.0,2.3
2016-02-06,31.6,21.6,0.0
2016-02-07,30.1,23.2,0.0
2016-02-08,30.7,19.5,0.0
2016-02-09,26.2,20.9,0.0
2016-02-10,40.1,21.7,0.0
2016-02-11,36.7,23.1,3.7
2016-02-12,35.8,22.2,0.0
2016-02-13,32.3,21.4,0.0
2016-02-14,32.1,17.8,1.6
2016-02-15,29.2,18.1,0.0
2016-02-16,34.5,22.4,0.0
2016-02-17,24.9,21.3,0.0
2016-02-18,33.1,23.0,0.0
2016-02-19,28.7,20.5,0.5
2016-02-20,32.3,21.9,0.0
2016-02-21,32.6,19.5,0.0
2016-02-22,32.5,19.2,0.0
2016-02-23,28.0,17.1,12.8
2016-02-24,31.4,18.4,0.0
2016-02-25,29.9,19.9,7.2
2016-02-26,31.2,18.7,0.0
2016-02-27,29.3,20.3,4.8
2016-02-28,33.0,21.6,0.0
2016-02-29,30.7,16.4,0.0
2016-03-01,25.9,15.9,0.0
2016-03-02,25.7,16.2,0.0
2016-03-03,23.9,17.4,2.1
2016-03-04,24.2,16.5,0.0
2016-03-05,31.2,23.8,0.0
2016-03-06,26.4,18.4,0.9
2016-03-07,27.4,16.5,1.0
2016-03-08,27.8,13.7,0.0
2016-03-09,29.2,17.1,0.0
2016-03-10,29.6,15.4,0.0
2016-03-11,28.8,19.8,0.0
2016-03-12,27.4,19.3,0.0
2016-03-13,28.9,15.3,20.4
2016-03-14,26.2,20.9,0.0
2016-03-15,27.6,18.0,3.8
2016-03-16,36.4,21.3,0.9
2016-03-17,35.2,17.2,0.0
2016-03-18,37.0,21.3,0.0
2016-03-19,36.8,24.5,0.0
2016-03-20,38.8,23.6,0.0
2016-03-21,34.2,18.3,0.0
2016-03-22,28.3,15.6,0.0
2016-03-23,30.2,15.8,0.0
2016-03-24,29.3,17.8,1.3
2016-03-25,26.2,11.4,24.7
2016-03-26,25.4,14.9,0.0
2016-03-27,19.2,14.9,4.7
2016-03-28,29.3,14.6,0.0
2016-03-29,19.9,14.2,0.0
2016-03-30,28.7,15.2,0.0
2016-03-31,25.7,11.3,6.2
2016-04-01,31.2,15.7,13.5
2016-04-02,27.1,15.2,0.0
2016-04-03,23.7,17.2,0.0
2016-04-04,22.7,14.8,0.0
2016-04-05,22.3,11.1,0.0
2016-04-06,28.6,11.7,0.0
2016-04-07,27.7,15.8,7.0
2016-04-08,26.8,11.8,0.0
2016-04-09,23.2,14.4,0.0
2016-04-10,25.3,15.5,0.0
2016-04-11,23.2,12.0,0.0
2016-04-12,25.1,13.8,0.0
2016-04-13,28.0,13.3,0.0
2016-04-14,23.8,11.0,0.0
2016-04-15,22.1,14.1,0.0
2016-04-16,21.4,16.6,0.0
2016-04-17,24.2,16.7,5.9
2016-04-18,24.8,13.8,0.0
2016-04-19,22.0,14.8,0.0
2016-04-20,23.9,16.6,0.0
2016-04-21,20.7,16.5,11.3
2016-04-22,24.7,13.1,0.0
2016-04-23,23.8,9.0,0.0
2016-04-24,19.4,13.5,0.0
2016-04-25,25.0,14.1,0.6
2016-04-26,21.2,13.1,0.0
2016-04-27,22.4,12.2,0.0
2016-04-28,23.3,13.1,0.0
2016-04-29,22.7,12.0,0.0
2016-04-30,24.4,11.1,14.1
2016-05-01,21.2,11.8,0.0
2016-05-02,18.2,10.3,0.0
2016-05-03,27.7,12.9,0.0
2016-05-04,22.7,9.3,0.0
2016-05-05,21.3,11.6,0.0
2016-05-06,27.4,13.5,5.0
2016-05-07,20.5,10.4,0.0
2016-05-08,17.3,15.3,0.0
2016-05-09,17.1,12.1,0.0
2016-05-10,16.8,12.3,0.0
2016-05-11,18.8,10.4,7.4
2016-05-12,19.1,9.6,0.0
2016-05-13,14.2,14.0,0.0
2016-05-14,21.2,18.2,0.0
2016-05-15,19.6,15.7,0.0
2016-05-16,18.1,15.8,6.4
2016-05-17,24.3,11.7,0.0
2016-05-18,20.5,11.3,0.0
2016-05-19,19.4,8.3,0.0
2016-05-20,19.4,11.5,0.0
2016-05-21,22.3,10.2,4.6
2016-05-22,20.5,8.9,0.0
2016-05-23,22.5,9.3,3.0
2016-05-24,19.7,8.5,6.7
2016-05-25,14.3,11.6,0.0
2016-05-26,16.5,12.4,0.0
2016-05-27,19.8,9.6,0.0
2016-05-28,19.9,12.4,0.0
2016-05-29,21.5,7.7,0.0
2016-05-30,19.1,12.0,0.0
2016-05-31,14.5,10.2,0.0
2016-06-01,15.7,9.4,0.0
2016-06-02,16.2,11.0,0.0
2016-06-03,18.1,5.7,4.1
2016-06-04,23.5,5.7,0.0
2016-06-05,13.6,10.2,0.0
2016-06-06,18.8,10.3,0.0
2016-06-07,19.0,8.9,0.0
2016-06-08,19.4,7.9,0.0
2016-06-09,22.2,7.9,0.0
2016-06-10,19.4,11.1,0.0
2016-06-11,19.1,10.9,0.0
2016-06-12,18.9,10.1,0.0
2016-06-13,16.2,7.5,0.0
2016-06-14,19.2,6.9,0.0
2016-06-15,15.2,7.3,0.0
2016-06-16,19.2,7.8,0.0
2016-06-17,14.3,9.3,0.0
2016-06-18,15.0,9.1,0.0
2016-06-19,17.2,6.6,0.0
2016-06-20,17.5,6.6,0.0
2016-06-21,15.5,3.8,0.0
2016-06-22,15.9,7.5,1.4
2016-06-23,16.2,7.1,0.7
2016-06-24,19.1,5.2,0.0
2016-06-25,15.1,11.3,0.0
2016-06-26,21.7,12.8,0.0
2016-06-27,15.6,10.3,0.0
2016-06-28,17.5,8.4,0.0
2016-06-29,19.3,4.2,0.0
2016-06-30,13.5,8.7,0.0
2016-07-01,24.4,9.9,20.5
2016-07-02,12.1,8.5,0.0
2016-07-03,17.2,7.5,0.0
2016-07-04,19.3,7.7,0.0
2016-07-05,18.7,6.7,0.0
2016-07-06,18.0,10.2,0.0
2016-07-07,15.4,6.2,8.8
2016-07-08,17.4,8.1,0.0
2016-07-09,15.6,8.6,0.0
2016-07-10,16.1,4.9,0.0
2016-07-11,13.1,5.2,0.0
2016-07-12,16.5,8.3,0.0
2016-07-13,16.1,8.2,0.0
2016-07-14,14.9,5.1,0.6
2016-07-15,10.2,9.4,0.0
2016-07-16,12.9,9.1,0.0
2016-07-17,17.5,5.3,0.0
2016-07-18,13.7,8.6,0.0
2016-07-19,13.0,7.8,0.0
2016-07-20,16.0,10.9,4.9
2016-07-21,12.7,6.4,0.0
2016-07-22,16.0,9.1,0.0
2016-07-23,12.6,8.1,0.0
2016-07-24,25.2,13.2,2.4
2016-07-25,14.6,11.3,0.0
2016-07-26,15.5,11.6,4.3
2016-07-27,21.5,11.2,21.1
2016-07-28,22.0,11.7,0.0
2016-07-29,14.2,5.7,0.0
2016-07-30,15.7,5.7,4.7
2016-07-31,17.4,6.9,0.0
2016-08-01,15.5,5.2,0.0
2016-08-02,19.3,9.6,0.0
2016-08-03,18.1,6.4,0.0
2016-08-04,15.5,8.9,0.0
2016-08-05,12.7,8.5,0.0
2016-08-06,15.7,5.7,0.0
2016-08-07,17.7,9.8,0.0
2016-08-08,15.9,5.8,3.8
2016-08-09,14.5,10.0,10.9
2016-08-10,17.3,9.6,3.3
2016-08-11,13.2,7.5,0.0
2016-08-12,15.5,8.5,0.0
2016-08-13,17.4,7.9,0.0
2016-08-14,15.3,8.8,0.0
2016-08-15,18.8,8.6,0.0
2016-08-16,15.9,9.9,22.9
2016-08-17,12.0,11.2,1.2
2016-08-18,16.1,10.1,0.0
2016-08-19,16.5,11.3,5.0
2016-08-20,10.8,9.8,2.0
2016-08-21,13.9,7.4,0.0
2016-08-22,17.7,6.3,0.0
2016-08-23,22.5,7.1,0.0
2016-08-24,21.1,11.7,0.0
2016-08-25,18.1,8.3,0.0
2016-08-26,29.9,12.0,1.9
2016-08-27,24.9,13.4,0.0
2016-08-28,26.9,14.7,0.0
2016-08-29,30.6,12.8,0.0
2016-08-30,26.8,15.3,8.1
2016-08-31,14.3,9.2,0.0
2016-09-01,14.7,5.3,0.0
2016-09-02,18.4,7.2,13.1
2016-09-03,19.9,12.4,0.0
2016-09-04,17.0,9.3,0.0
2016-09-05,23.9,9.7,0.0
2016-09-06,20.5,8.9,0.6
2016-09-07,14.8,10.5,0.0
2016-09-08,15.3,11.6,3.7
2016-09-09,18.3,10.1,3.2
2016-09-10,16.7,9.8,0.0
2016-09-11,20.1,12.6,0.0
2016-09-12,19.9,8.8,0.0
2016-09-13,21.5,12.9,0.0
2016-09-14,22.5,12.4,0.0
2016-09-15,18.1,10.4,0.0
2016-09-16,18.0,9.9,0.0
2016-09-17,19.3,10.8,0.0
2016-09-18,26.3,12.1,0.0
2016-09-19,22.8,11.2,0.0
2016-09-20,18.7,10.3,0.0
2016-09-21,22.2,10.8,0.0
2016-09-22,17.1,14.4,0.0
2016-09-23,19.9,12.6,0.0
2016-09-24,20.3,16.5,0.0
2016-09-25,18.3,9.3,6.4
2016-09-26,23.6,10.1,0.0
2016-09-27,21.8,11.1,0.0
2016-09-28,28.8,12.4,0.0
2016-09-29,21.7,14.1,0.0
2016-09-30,21.6,12.9,0.0
2016-10-01,22.8,12.1,0.0
2016-10-02,23.9,16.0,0.0
2016-10-03,26.5,18.9,0.0
2016-10-04,40.0,22.5,0.3
2016-10-05,32.5,19.0,0.0
2016-10-06,25.9,15.8,0.0
2016-10-07,32.5,16.6,0.0
2016-10-08,21.7,16.2,0.0
2016-10-09,25.3,14.2,0.0
2016-10-10,22.8,13.7,0.0
2016-10-11,21.2,11.7,0.0
2016-10-12,24.9,13.6,0.0
2016-10-13,23.6,12.0,3.6
2016-10-14,25.9,10.3,0.0
2016-10-15,23.5,13.6,0.0
2016-10-16,24.5,13.2,0.0
2016-10-17,19.8,16.1,0.0
2016-10-18,19.5,13.8,0.1
2016-10-19,21.0,10.6,0.0
2016-10-20,25.9,17.6,1.3
2016-10-21,24.6,11.7,0.0
2016-10-22,20.9,16.1,0.0
2016-10-23,27.4,17.1,0.0
2016-10-24,20.1,17.6,0.0
2016-10-25,22.0,14.8,0.0
2016-10-26,18.5,18.9,0.0
2016-10-27,25.7,17.5,0.0
2016-10-28,25.0,20.4,0.0
2016-10-29,26.3,13.5,2.0
2016-10-30,25.2,15.1,5.0
2016-10-31,27.9,14.4,0.0
2016-11-01,22.8,18.1,0.8
2016-11-02,21.7,16.0,0.0
2016-11-03,26.3,14.7,0.0
2016-11-04,30.9,13.1,2.5
2016-11-05,28.0,16.4,0.0
2016-11-06,29.9,14.7,2.4
2016-11-07,30.1,15.3,5.0
2016-11-08,25.4,19.2,0.0
2016-11-09,30.4,17.3,0.0
2016-11-10,28.9,18.2,0.6
2016-11-11,28.4,17.0,0.0
2016-11-12,26.7,20.8,0.0
2016-11-13,31.8,17.7,0.0
2016-11-14,28.6,19.5,0.0
2016-11-15,37.1,18.1,2.3
2016-11-16,33.6,21.5,0.7
2016-11-17,32.3,22.8,0.0
2016-11-18,29.6,18.7,0.0
2016-11-19,30.2,18.1,0.0
2016-11-20,30.7,18.0,0.7
2016-11-21,32.9,20.2,0.0
2016-11-22,27.9,17.5,0.0
2016-11-23,33.3,15.4,0.0
2016-11-24,24.5,17.7,0.0
2016-11-25,32.3,20.4,0.0
2016-11-26,27.8,16.8,2.0
2016-11-27,28.7,17.3,0.0
2016-11-28,27.2,16.7,0.0
2016-11-29,28.1,14.5,0.0
2016-11-30,25.2,16.6,0.0
2016-12-01,24.7,19.2,0.0
2016-12-02,36.6,19.3,0.0
2016-12-03,34.8,21.3,0.0
2016-12-04,35.3,17.0,0.0
2016-12-05,30.6,20.4,0.0
2016-12-06,26.8,19.8,0.0
2016-12-07,30.8,14.9,0.8
2016-12-08,35.8,21.0,0.0
2016-12-09,35.4,22.1,0.0
2016-12-10,29.9,21.9,0.0
2016-12-11,31.4,18.3,2.6
2016-12-12,26.2,19.8,0.0
2016-12-13,35.4,20.4,0.0
2016-12-14,25.9,18.7,0.0
2016-12-15,32.4,18.5,3.0
2016-12-16,33.8,21.0,3.0
2016-12-17,25.8,20.3,0.0
2016-12-18,31.5,19.0,0.0
2016-12-19,30.7,17.5,0.0
2016-12-20,33.5,18.2,0.0
2016-12-21,32.5,20.0,0.0
2016-12-22,30.1,17.7,0.0
2016-12-23,30.5,19.0,0.0
2016-12-24,30.6,18.8,0.0
2016-12-25,25.6,21.5,0.0
2016-12-26,34.9,21.3,0.0
2016-12-27,29.8,21.4,0.0
2016-12-28,30.9,22.8,0.0
2016-12-29,25.3,18.3,0.0
2016-12-30,25.0,22.3,0.0
2016-12-31,27.3,21.1,3.0
2017-01-01,32.9,21.5,0.0
2017-01-02,25.5,22.4,0.0
2017-01-03,24.5,21.6,0.0
2017-01-04,38.7,22.3,3.9
